tiempo,EMG,Integrated EMG,,,,
23.16023526,-3.63144,3.65461,,,,
23.16123522,-3.64289,3.6544,,,,
23.16223519,-3.62891,3.65397,,,,
23.16323516,-3.61056,3.65327,,,,
23.16423513,-3.58855,3.65235,,,,
23.16523509,-3.54833,3.65107,,,,
23.16623506,-3.5469,3.64986,,,,
23.16723503,-3.61058,3.64932,,,,
23.16823499,-3.66703,3.64922,,,,
23.16923496,-3.66171,3.6489,,,,
23.17023493,-3.61145,3.64801,,,,
23.17123489,-3.56798,3.64684,,,,
23.17223486,-3.55665,3.64576,,,,
23.17323483,-3.56546,3.64484,,,,
23.17423479,-3.60681,3.64422,,,,
23.17523476,-3.68033,3.64424,,,,
23.17623473,-3.71583,3.64459,,,,
23.1772347,-3.70311,3.64476,,,,
23.17823466,-3.71791,3.64506,,,,
23.17923463,-3.72163,3.64548,,,,
23.1802346,-3.64504,3.6453,,,,
23.18123456,-3.58815,3.64463,,,,
23.18223453,-3.6235,3.64432,,,,
23.1832345,-3.67825,3.6445,,,,
23.18423446,-3.71172,3.64497,,,,
23.18523443,-3.73382,3.64565,,,,
23.1862344,-3.73907,3.64645,,,,
23.18723437,-3.74036,3.64734,,,,
23.18823433,-3.75019,3.64831,,,,
23.1892343,-3.73986,3.64912,,,,
23.19023427,-3.69741,3.64946,,,,
23.19123423,-3.66446,3.6494,,,,
23.1922342,-3.66103,3.64926,,,,
23.19323417,-3.66431,3.64919,,,,
23.19423413,-3.67323,3.64921,,,,
23.1952341,-3.68832,3.64932,,,,
23.19623407,-3.68785,3.64961,,,,
23.19723404,-3.67258,3.65004,,,,
23.198234,-3.66081,3.65045,,,,
23.19923397,-3.66338,3.65087,,,,
23.20023394,-3.66837,3.65126,,,,
23.2012339,-3.66063,3.65137,,,,
23.20223387,-3.66014,3.65129,,,,
23.20323384,-3.67685,3.65119,,,,
23.2042338,-3.69455,3.65108,,,,
23.20523377,-3.69286,3.65095,,,,
23.20623374,-3.65733,3.65074,,,,
23.20723371,-3.63053,3.65048,,,,
23.20823367,-3.64385,3.65029,,,,
23.20923364,-3.65727,3.6502,,,,
23.21023361,-3.65602,3.65028,,,,
